#,Product,Code,Category,Retail Price,Whole Sale Price,Actions,Unit Price,Qty
1,HSS Drill Bit (EHPL) 1/8 Inch,1P01-01,Power Tool Accessories,70,63,, 46.90 ,5328
2,HSS Drill Bit (EHPL) 5/32 Inch,1P01-02,Power Tool Accessories,93,84,, 60.90 ,1200
3,HSS Drill Bit (EHPL) 3/16 Inch,1P01-03,Power Tool Accessories,125,113,, 84.00 ,1340
4,HSS Drill Bit (EHPL) 1/4 Inch,1P01-04,Power Tool Accessories,215,195,, 143.50 ,750
5,HSS Drill Bit (EHPL) 5/16 Inch,1P01-05,Power Tool Accessories,380,345,, 245.00 ,5
6,HSS Drill Bit (EHPL) 3/8 Inch,1P01-06,Power Tool Accessories,690,690,, 747.00 ,15
7,HSS Drill Bit (EHPL) 1/2 Inch,1P01-07,Power Tool Accessories,990,891,, 715.40 ,300
8,HSS Drill Bit (EHPL) 5/8 Inch,1P01-08,Power Tool Accessories,1970,1773,," 1,330.00 ",0
9,HSS Drill Bit (EHPL) 3/4 Inch,1P01-09,Power Tool Accessories,3439,3094,," 1,144.00 ",3
10,HSS Drill Bit (EHPL) 1 Inch,1P01-10,Power Tool Accessories,4750,4275,," 2,070.00 ",14
11,HSS Drill Bit (EHPL) 1 mm,1P01-11,Power Tool Accessories,32,28,, 15.00 ,0
12,HSS Drill Bit (EHPL) 1.5 mm,1P01-12,Power Tool Accessories,37,33.5,, 18.00 ,10
13,HSS Drill Bit (EHPL) 2 mm,1P01-13,Power Tool Accessories,47,42,, 28.50 ,0
14,HSS Drill Bit (EHPL) 2.5 mm,1P01-14,Power Tool Accessories,57,50.5,, 33.75 ,13670
15,HSS Drill Bit (EHPL) 3 mm,1P01-15,Power Tool Accessories,78.9,70.4,, 53.25 ,2230
16,HSS Drill Bit (EHPL) 3.5 mm,1P01-16,Power Tool Accessories,121,108.5,, 72.00 ,2630
17,HSS Drill Bit (EHPL) 4 mm,1P01-17,Power Tool Accessories,139,124.8,, 87.00 ,3630
18,HSS Drill Bit (EHPL) 4.5 mm,1P01-18,Power Tool Accessories,166,149,, 105.00 ,940
19,HSS Drill Bit (EHPL) 5 mm,1P01-19,Power Tool Accessories,231,208,, 135.00 ,670
20,HSS Drill Bit (EHPL) 5.5 mm,1P01-20,Power Tool Accessories,278,250.5,, 157.50 ,1240
21,HSS Drill Bit (EHPL) 6.5 mm,1P01-21,Power Tool Accessories,395,355,, 228.00 ,1100
22,HSS Drill Bit (EHPL) 7 mm,1P01-22,Power Tool Accessories,465,418,, 166.60 ,850
23,HSS Drill Bit (EHPL) 7.5 mm,1P01-23,Power Tool Accessories,465,418,, 146.00 ,324
24,HSS Drill Bit (EHPL) 8 mm,1P01-24,Power Tool Accessories,472,425,, 242.20 ,695
25,HSS Drill Bit (EHPL) 8.5 mm,1P01-25,Power Tool Accessories,491,443,, 190.00 ,5
26,HSS Drill Bit (EHPL) 9 mm,1P01-26,Power Tool Accessories,527,474,, 260.00 ,40
27,HSS Drill Bit (EHPL) 9.5 mm,1P01-27,Power Tool Accessories,628,564,, 260.00 ,230
28,HSS Drill Bit (EHPL) 10 mm,1P01-28,Power Tool Accessories,872,784,, 585.00 ,533
29,HSS Drill Bit (EHPL) 10.5 mm,1P01-29,Power Tool Accessories,795,715,, 431.20 ,0
30,HSS Drill Bit (EHPL) 11 mm,1P01-30,Power Tool Accessories,623,561,, 320.00 ,20
31,HSS Drill Bit (EHPL) 11.5 mm,1P01-31,Power Tool Accessories,1004,903,, 535.50 ,169
32,HSS Drill Bit (EHPL) 12 mm,1P01-32,Power Tool Accessories,753,603,, 612.50 ,53
33,HSS Drill Bit (EHPL) 12.5 mm,1P01-33,Power Tool Accessories,1030,930,, 668.50 ,45
34,HSS Drill Bit (EHPL) 13 mm,1P01-34,Power Tool Accessories,1431,1287,, 715.40 ,180
35,HSS Drill Bit (EHPL) 13.5 mm,1P01-35,Power Tool Accessories,1989,1789,, 736.00 ,41
36,HSS Drill Bit (EHPL) 16 mm,1P01-36,Power Tool Accessories,1888,1699,," 1,330.00 ",0
37,HSS Drill Bit (EHPL) 16.5 mm,1P01-37,Power Tool Accessories,1958,1762,," 1,400.00 ",2
38,Gold Bit (EHPL) 1/8 Inch,1P02-01,Power Tool Accessories,24.5,22,, 21.00 ,7567
39,Gold Bit (EHPL) 5/32 Inch,1P02-02,Power Tool Accessories,34.5,32,, 31.00 ,3470
40,Gold Bit (EHPL) 3/16 Inch,1P02-03,Power Tool Accessories,44,40,, 38.00 ,450
41,Gold Bit (EHPL) 1/4 Inch,1P02-04,Power Tool Accessories,72,65,, 62.00 ,0
42,Gold Bit (EHPL) 5/16 Inch,1P02-05,Power Tool Accessories,115,104,, 99.00 ,0
43,Gold Bit (EHPL) 3/8 Inch,1P02-06,Power Tool Accessories,220,198,, 160.00 ,0
44,Gold Bit (EHPL) 1/2 Inch,1P02-07,Power Tool Accessories,397,357,, 270.00 ,0
45,Gold Bit (EHPL) 5/8 Inch,1P02-08,Power Tool Accessories,903,813,, 612.00 ,0
46,Gold Bit (EHPL) 3/4 Inch,1P02-09,Power Tool Accessories,1297,1167,, 880.00 ,7
47,Concrete Hole Bit EHPL 1.5 Inch,1P03-01,Power Tool Accessories,1490,1341,, 767.00 ,111
48,Concrete Hole Bit EHPL 2 Inch,1P03-02,Power Tool Accessories,1650,1485,, 890.00 ,0
49,Concrete Hole Bit EHPL 2.5 Inch,1P03-03,Power Tool Accessories,1657,1356,, 820.00 ,0
