#,Product,Code,Category,Retail Price,Whole Sale Price,Actions,Qty
1,HSS Drill Bit (EHPL) 1/8 Inch,1P01-01,Power Tool Accessories,70,63,,0
2,HSS Drill Bit (EHPL) 5/32 Inch,1P01-02,Power Tool Accessories,93,84,,0
3,HSS Drill Bit (EHPL) 3/16 Inch,1P01-03,Power Tool Accessories,125,113,,0
4,HSS Drill Bit (EHPL) 1/4 Inch,1P01-04,Power Tool Accessories,215,195,,0
5,HSS Drill Bit (EHPL) 5/16 Inch,1P01-05,Power Tool Accessories,380,345,,0
6,HSS Drill Bit (EHPL) 3/8 Inch,1P01-06,Power Tool Accessories,690,690,,0
7,HSS Drill Bit (EHPL) 1/2 Inch,1P01-07,Power Tool Accessories,990,891,,100
8,HSS Drill Bit (EHPL) 5/8 Inch,1P01-08,Power Tool Accessories,1970,1773,,0
9,HSS Drill Bit (EHPL) 3/4 Inch,1P01-09,Power Tool Accessories,3439,3094,,0
10,HSS Drill Bit (EHPL) 1 Inch,1P01-10,Power Tool Accessories,4750,4275,,10
11,HSS Drill Bit (EHPL) 1 mm,1P01-11,Power Tool Accessories,32,28,,0
12,HSS Drill Bit (EHPL) 1.5 mm,1P01-12,Power Tool Accessories,37,33.5,,0
13,HSS Drill Bit (EHPL) 2 mm,1P01-13,Power Tool Accessories,47,42,,0
14,HSS Drill Bit (EHPL) 2.5 mm,1P01-14,Power Tool Accessories,57,50.5,,13000
15,HSS Drill Bit (EHPL) 3 mm,1P01-15,Power Tool Accessories,78.9,70.4,,1860
16,HSS Drill Bit (EHPL) 3.5 mm,1P01-16,Power Tool Accessories,121,108.5,,2500
17,HSS Drill Bit (EHPL) 4 mm,1P01-17,Power Tool Accessories,139,124.8,,3420
18,HSS Drill Bit (EHPL) 4.5 mm,1P01-18,Power Tool Accessories,166,149,,790
19,HSS Drill Bit (EHPL) 5 mm,1P01-19,Power Tool Accessories,231,208,,550
20,HSS Drill Bit (EHPL) 5.5 mm,1P01-20,Power Tool Accessories,278,250.5,,1150
21,HSS Drill Bit (EHPL) 6.5 mm,1P01-21,Power Tool Accessories,395,355,,1030
22,HSS Drill Bit (EHPL) 7 mm,1P01-22,Power Tool Accessories,465,418,,790
23,HSS Drill Bit (EHPL) 7.5 mm,1P01-23,Power Tool Accessories,465,418,,294
24,HSS Drill Bit (EHPL) 8 mm,1P01-24,Power Tool Accessories,472,425,,575
25,HSS Drill Bit (EHPL) 8.5 mm,1P01-25,Power Tool Accessories,491,443,,0
26,HSS Drill Bit (EHPL) 9 mm,1P01-26,Power Tool Accessories,527,474,,0
27,HSS Drill Bit (EHPL) 9.5 mm,1P01-27,Power Tool Accessories,628,564,,200
28,HSS Drill Bit (EHPL) 10 mm,1P01-28,Power Tool Accessories,872,784,,430
29,HSS Drill Bit (EHPL) 10.5 mm,1P01-29,Power Tool Accessories,795,715,,0
30,HSS Drill Bit (EHPL) 11 mm,1P01-30,Power Tool Accessories,623,561,,20
31,HSS Drill Bit (EHPL) 11.5 mm,1P01-31,Power Tool Accessories,1004,903,,150
32,HSS Drill Bit (EHPL) 12 mm,1P01-32,Power Tool Accessories,753,603,,20
33,HSS Drill Bit (EHPL) 12.5 mm,1P01-33,Power Tool Accessories,1030,930,,10
34,HSS Drill Bit (EHPL) 13 mm,1P01-34,Power Tool Accessories,1431,1287,,170
35,HSS Drill Bit (EHPL) 13.5 mm,1P01-35,Power Tool Accessories,1989,1789,,20
36,HSS Drill Bit (EHPL) 16 mm,1P01-36,Power Tool Accessories,1888,1699,,0
37,HSS Drill Bit (EHPL) 16.5 mm,1P01-37,Power Tool Accessories,1958,1762,,0
38,Gold Bit (EHPL) 1/8 Inch,1P02-01,Power Tool Accessories,24.5,22,,6900
39,Gold Bit (EHPL) 5/32 Inch,1P02-02,Power Tool Accessories,34.5,32,,2800
40,Gold Bit (EHPL) 3/16 Inch,1P02-03,Power Tool Accessories,44,40,,350
41,Gold Bit (EHPL) 1/4 Inch,1P02-04,Power Tool Accessories,72,65,,0
42,Gold Bit (EHPL) 5/16 Inch,1P02-05,Power Tool Accessories,115,104,,0
43,Gold Bit (EHPL) 3/8 Inch,1P02-06,Power Tool Accessories,220,198,,0
44,Gold Bit (EHPL) 1/2 Inch,1P02-07,Power Tool Accessories,397,357,,0
45,Gold Bit (EHPL) 5/8 Inch,1P02-08,Power Tool Accessories,903,813,,0
46,Gold Bit (EHPL) 3/4 Inch,1P02-09,Power Tool Accessories,1297,1167,,0
47,Concrete Hole Bit EHPL 1.5 Inch,1P03-01,Power Tool Accessories,1490,1341,,100
48,Concrete Hole Bit EHPL 2 Inch,1P03-02,Power Tool Accessories,1650,1485,,0
49,Concrete Hole Bit EHPL 2.5 Inch,1P03-03,Power Tool Accessories,1657,1356,,0
50,Concrete Hole Bit EHPL 3 Inch,1P03-04,Power Tool Accessories,2450,2205,,20
51,Concrete Hole Bit EHPL 4 Inch,1P03-05,Power Tool Accessories,3770,3390,,0
52,Concrete Hole Bit EHPL 5 Inch,1P03-06,Power Tool Accessories,3966,3569,,0
53,Concrete Bit EHPL 4 mm,1P04-01,Power Tool Accessories,47,42,,0
54,Concrete Bit EHPL 5 mm,1P04-02,Power Tool Accessories,80,72,,1500
55,Concrete Bit EHPL 6 mm,1P04-03,Power Tool Accessories,80,72,,1150
56,Concrete Bit EHPL 7 mm,1P04-04,Power Tool Accessories,85,77,,1550
57,Concrete Bit EHPL 8 mm,1P04-05,Power Tool Accessories,110,99,,0
58,Concrete Bit EHPL 10 mm,1P04-06,Power Tool Accessories,125,113,,0
59,Concrete Bit EHPL 12 mm,1P04-07,Power Tool Accessories,197.5,178,,0
60,Concrete Bit EHPL 13 mm,1P04-08,Power Tool Accessories,290,265,,200
61,Concrete Bit EHPL 14 mm,1P04-09,Power Tool Accessories,251,201,,0
62,Concrete Bit EHPL 16 mm,1P04-10,Power Tool Accessories,287,211,,0
63,Hammer Bit (Hilty) EHPL 6X110 mm,1P05-01,Power Tool Accessories,180,162,,0
64,Hammer Bit (Hilty) EHPL 7X110 mm,1P05-02,Power Tool Accessories,185,166,,150
65,Hammer Bit (Hilty) EHPL 8X110 mm,1P05-03,Power Tool Accessories,190,170,,260
66,Hammer Bit (Hilty) EHPL 10X110 mm,1P05-04,Power Tool Accessories,341,307,,570
67,Hammer Bit (Hilty) EHPL 6X160 mm,1P05-05,Power Tool Accessories,198,180,,0
68,Hammer Bit (Hilty) EHPL 7X160 mm,1P05-06,Power Tool Accessories,312,281,,0
69,Hammer Bit (Hilty) EHPL 8X160 mm,1P05-07,Power Tool Accessories,316,284,,140
70,Hammer Bit (Hilty) EHPL 10X160 mm,1P05-08,Power Tool Accessories,337,303,,0
71,Hammer Bit (Hilty) EHPL 12X160 mm,1P05-09,Power Tool Accessories,250,225,,0
72,Hammer Bit (Hilty) EHPL 6X210 mm,1P05-10,Power Tool Accessories,147,110,,0
73,Hammer Bit (Hilty) EHPL 7X210 mm,1P05-11,Power Tool Accessories,175,130,,0
74,Hammer Bit (Hilty) EHPL 8X210 mm,1P05-12,Power Tool Accessories,195,141,,0
75,Hammer Bit (Hilty) EHPL 10X210 mm,1P05-13,Power Tool Accessories,211,151,,0
76,Hammer Bit (Hilty) EHPL 6X260 mm,1P05-14,Power Tool Accessories,296,266,,510
77,Hammer Bit (Hilty) EHPL 7X260 mm,1P05-15,Power Tool Accessories,352,316,,45
78,Hammer Bit (Hilty) EHPL 8X260 mm,1P05-16,Power Tool Accessories,407,365,,220
79,Hammer Bit (Hilty) EHPL 10X260 mm,1P05-17,Power Tool Accessories,407,365,,30
80,Hammer Bit (Hilty) EHPL 12X260 mm,1P05-18,Power Tool Accessories,420,380,,0
81,Hammer Bit (Hilty) EHPL 13X260 mm,1P05-19,Power Tool Accessories,407,271,,0
82,Hammer Bit (Hilty) EHPL 14X260 mm,1P05-20,Power Tool Accessories,480,435,,0
83,Hammer Bit (Hilty) EHPL 16X260 mm,1P05-21,Power Tool Accessories,565,510,,0
84,Hammer Bit (Hilty) EHPL 18X260 mm,1P05-22,Power Tool Accessories,850,765,,0
85,Hammer Bit (Hilty) EHPL 20X260 mm,1P05-23,Power Tool Accessories,1365,1228,,100
86,Hammer Bit (Hilty) EHPL 22X260 mm,1P05-24,Power Tool Accessories,1750,1575,,50
87,Hammer Bit (Hilty) EHPL 25X260 mm,1P05-25,Power Tool Accessories,1350,1215,,30
88,Hammer Bit (Hilty) EHPL 14X350 mm,1P05-26,Power Tool Accessories,595,535,,0
