*,Product,Code,Size,Retail price,Available Stock,Hold Stock,Total price
1,HSS Drill Bit (EHPL) 1/8 Inch,1P01-01,08-Jan,Rs.70.00,4660,381,"Rs.333,200.00"
2,HSS Drill Bit (EHPL) 5/32 Inch,1P01-02,May-32,Rs.93.00,0,75,"Rs.6,975.00"
3,HSS Drill Bit (EHPL) 3/16 Inch,1P01-03,16-Mar,Rs.125.00,2950,160,"Rs.363,750.00"
4,HSS Drill Bit (EHPL) 1/4 Inch,1P01-04,04-Jan,Rs.215.00,860,100,"Rs.180,600.00"
5,HSS Drill Bit (EHPL) 5/16 Inch,1P01-05,16-May,Rs.380.00,0,10,"Rs.3,800.00"
6,HSS Drill Bit (EHPL) 3/8 Inch,1P01-06,08-Mar,Rs.540.00,35,5,"Rs.2,700.00"
7,HSS Drill Bit (EHPL) 1/2 Inch,1P01-07,02-Jan,Rs.990.00,985,0,"Rs.965,250.00"
8,HSS Drill Bit (EHPL) 5/8 Inch - Handel 1/2 Inch,1P01-08,08-May,"Rs.1,970.00",0,0,Rs.0.00
9,HSS Drill Bit (EHPL) 3/4 Inch - Handel 1/2 Inch,1P01-09,04-Mar,"Rs.3,440.00",56,0,"Rs.192,640.00"
10,HSS Drill Bit (EHPL) 1 Inch - Handel 1/2 Inch,1P01-10,1,"Rs.5,650.00",103,0,"Rs.220,350.00"
11,HSS Drill Bit (EHPL) 1 mm,1P01-11,1,Rs.32.00,0,0,Rs.0.00
12,HSS Drill Bit (EHPL) 1.5 mm,1P01-12,1.5,Rs.37.00,0,0,Rs.0.00
13,HSS Drill Bit (EHPL) 2 mm,1P01-13,2,Rs.47.00,0,0,Rs.0.00
14,HSS Drill Bit (EHPL) 2.5 mm,1P01-14,2.5,Rs.57.00,12300,20,"Rs.685,140.00"
15,HSS Drill Bit (EHPL) 3 mm,1P01-15,3,Rs.78.90,1500,0,"Rs.114,405.00"
16,HSS Drill Bit (EHPL) 3.5 mm,1P01-16,3.5,Rs.121.00,2100,0,"Rs.252,890.00"
17,HSS Drill Bit (EHPL) 4 mm,1P01-17,4,Rs.139.00,3200,0,"Rs.437,850.00"
18,HSS Drill Bit (EHPL) 4.5 mm,1P01-18,4.5,Rs.166.00,720,0,"Rs.109,560.00"
19,HSS Drill Bit (EHPL) 5 mm,1P01-19,5,Rs.231.00,190,50,"Rs.60,060.00"
